Date,Open,High,Low,Close,SharesTraded,Turnover
2023-06-28,18801.85,18919.0,18767.55,18892.3,0,0
2023-06-30,18932.9,19051.75,18919.45,19040.95,0,0

2023-07-03,19090.1,19117.55,19026.45,19074.95,0,0
2023-07-04,19122.8,19126.05,19022.35,19062.15,0,0
2023-07-05,19091.5,19318.25,19077.45,19295.75,0,0
2023-07-06,19327.5,19422.35,19303.4,19415.15,0,0
2023-07-07,19402.55,19460.85,19203.8,19232.8,0,0
2023-07-10,19276.85,19299.75,19135.2,19160.85,0,0
2023-07-11,19220.55,19398.25,19196.4,19349.95,0,0
2023-07-12,19396.85,19399.9,19301.25,19350.25,0,0
2023-07-13,19412.7,19435.4,19208.9,19247,0,0
2023-07-14,19296.55,19326.3,19234.45,19300.7,0,0
2023-07-17,19346.2,19388.05,19282.65,19349.85,0,0
2023-07-18,19382.65,19402.35,19258.05,19305.2,0,0
2023-07-19,19342.95,19408.05,19319.05,19396.05,0,0
2023-07-20,19427.1,19542.7,19365,19534.15,0,0
2023-07-21,19503.75,19576.05,19442.65,19468.55,0,0
2023-07-24,19516.65,19618.9,19475.4,19519.35,0,0
2023-07-25,19581.55,19594.2,19449.65,19528.5,0,0
2023-07-26,19586.75,19683,19566.35,19664.85,0,0
2023-07-27,19723.65,19765.65,19591.15,19647.55,0,0
2023-07-28,19676.4,19777.25,19609.55,19762.95,0,0
2023-07-31,19776.45,19841.5,19724.95,19822.4,0,0
2023-08-01,19861.1,19872.65,19748.65,19767.35,0,0
2023-08-02,19731.85,19745.05,19488.95,19602.45,0,0
2023-08-03,19553.55,19656.4,19438.15,19500.4,0,0
2023-08-04,19543.9,19636.7,19465.4,19485.25,0,0
2023-08-07,19511.85,19585.6,19484,19557.3,0,0
2023-08-08,19604.45,19635.1,19405.05,19485.35,0,0
2023-08-09,19508.45,19574.9,19434.95,19564.7,0,0
2023-08-10,19569.5,19585.9,19387.4,19433.95,0,0
2023-08-11,19471,19481.65,19249.95,19270.95,0,0
2023-08-14,19262.8,19281.85,19103.6,19250.55,0,0
2023-08-16,19233.6,19358.6,19167.4,19343.9,0,0
2023-08-17,19347.2,19356.3,19257.55,19288.55,0,0
2023-08-18,19267.65,19312.35,19217.85,19259.9,0,0
2023-08-21,19275.8,19377.15,19248.1,19361.35,0,0
2023-08-22,19391.35,19439.7,19372.2,19398.45,0,0
2023-08-23,19448,19448,19363.25,19397.65,0,0
2023-08-24,19494.9,19545.6,19402.05,19410.9,0,0
