Date,Close
2003-12-31,1000.0
2004-01-01,1021.1
2004-01-02,1037.8
2004-01-05,1034.0
2004-01-06,1005.6
2004-01-07,993.88
2004-01-08,1041.7
2004-01-09,1034.3
2004-01-12,1012.4
2004-01-13,1022.1
2004-01-14,1036.1
2004-01-15,1010.8
2004-01-16,972.4
2004-01-19,986.54
2004-01-20,965.41
2004-01-21,888.14
2004-01-22,863.49
2004-01-23,919.91
2004-01-27,951.53
2004-01-28,929.18
2004-01-29,920.67
2004-01-30,887.8
2004-02-03,829.97
2004-02-04,858.53
2004-02-05,854.87
2004-02-06,859.89
2004-02-09,885.29
2004-02-10,882.68
2004-02-11,886.09
2004-02-12,885.29
2004-02-13,904.49
2004-02-16,911.51
2004-02-17,907.87
2004-02-18,905.42
2004-02-19,867.07
2004-02-20,860.04
2004-02-23,838.87
2004-02-24,838.52
2004-02-25,824.73
2004-02-26,814.39
2004-02-27,825.76
2004-03-01,843.29
2004-03-03,842.82
2004-03-04,834.13
2004-03-05,838.88
2004-03-08,848.91
2004-03-09,838.22
2004-03-10,825.37
2004-03-11,808.62
2004-03-12,811.82
2004-03-15,776.17
2004-03-16,763.14
2004-03-17,770.72
2004-03-18,750.35
2004-03-19,758.13
2004-03-22,724.68
2004-03-23,719.84
2004-03-24,716.04
2004-03-25,737.08
2004-03-26,760.11
2004-03-29,766.13
2004-03-30,769.36
2004-03-31,769.56
2004-04-01,801.83
2004-04-02,812.16
2004-04-05,828.69
2004-04-06,821.18
2004-04-07,817.52
2004-04-08,824.86
2004-04-12,825.75
2004-04-13,850.8
2004-04-15,858.12
2004-04-16,867.98
2004-04-17,880.69
2004-04-19,864.68
2004-04-20,863.7
2004-04-21,887.68
2004-04-22,898.92
2004-04-23,904.51
2004-04-27,844.61
2004-04-28,850.53
2004-04-29,851.64
2004-04-30,845.04
2004-05-03,816.52
2004-05-04,848.81
2004-05-05,866.71
2004-05-06,885.47
2004-05-07,869.85
2004-05-10,859.36
2004-05-11,811.07
2004-05-12,819.58
2004-05-13,826.7
2004-05-14,748.41
2004-05-17,648.03
2004-05-18,715.18
2004-05-19,759.33
2004-05-20,763.48
2004-05-21,760.63
2004-05-24,802.29
2004-05-25,795.47
2004-05-26,796.68
2004-05-27,785.45
2004-05-28,740.14
2004-05-31,718.41
2004-06-01,731.95
2004-06-02,741.24
2004-06-03,723.29
2004-06-04,730.17
2004-06-07,738.54
2004-06-08,737.99
2004-06-09,743.74
2004-06-10,747.43
2004-06-11,731.66
2004-06-14,708.13
2004-06-15,717.53
2004-06-16,712.85
2004-06-17,717.48
2004-06-18,711.1
2004-06-21,705.66
2004-06-22,698.52
2004-06-23,676.77
2004-06-24,682.59
2004-06-25,704.37
2004-06-28,733.0
2004-06-29,737.1
2004-06-30,732.32
2004-07-01,744.39
2004-07-02,743.3
2004-07-05,736.1
2004-07-06,750.4
2004-07-07,751.4
2004-07-08,719.48
2004-07-09,738.27
2004-07-12,749.16
2004-07-13,747.74
2004-07-14,751.49
2004-07-15,777.92
2004-07-16,803.91
2004-07-19,810.35
2004-07-20,801.32
2004-07-21,813.7
2004-07-22,824.48
2004-07-23,840.24
2004-07-26,844.35
2004-07-27,823.82
2004-07-28,824.91
2004-07-29,841.35
2004-07-30,845.92
2004-08-02,846.19
2004-08-03,848.8
2004-08-04,847.55
2004-08-05,867.01
2004-08-06,857.58
2004-08-09,863.05
2004-08-10,868.26
2004-08-11,840.67
2004-08-12,831.63
2004-08-13,837.68
2004-08-16,843.88
2004-08-17,853.49
2004-08-18,847.0
2004-08-19,857.24
2004-08-20,846.99
2004-08-23,829.59
2004-08-24,841.57
2004-08-25,842.94
2004-08-26,852.09
2004-08-27,859.11
2004-08-30,883.95
2004-08-31,888.15
2004-09-01,897.52
2004-09-02,895.18
2004-09-03,908.73
2004-09-06,921.1
2004-09-07,924.52
2004-09-08,928.38
2004-09-09,913.96
2004-09-10,920.7
2004-09-13,920.81
2004-09-14,918.75
2004-09-15,916.11
2004-09-16,930.15
2004-09-17,937.71
2004-09-20,941.23
2004-09-21,952.84
2004-09-22,961.49
2004-09-23,951.68
2004-09-24,963.97
2004-09-27,958.92
2004-09-28,946.97
2004-09-29,962.96
2004-09-30,968.55
2004-10-01,981.42
2004-10-04,995.18
2004-10-05,1008.1
2004-10-06,999.37
2004-10-07,1008.5
2004-10-08,1022.0
2004-10-09,1030.3
2004-10-11,1015.9
2004-10-12,989.73
2004-10-14,988.48
2004-10-15,980.68
2004-10-18,977.35
2004-10-19,985.49
2004-10-20,977.57
2004-10-21,974.01
2004-10-25,945.48
2004-10-26,960.71
2004-10-27,975.54
2004-10-28,980.35
2004-10-29,975.07
2004-11-01,981.61
2004-11-02,993.27
2004-11-03,1014.0
2004-11-04,1013.6
2004-11-05,1012.7
2004-11-08,1014.5
2004-11-09,1007.9
2004-11-10,1020.4
2004-11-11,1017.3
2004-11-12,1021.9
2004-11-16,1028.4
2004-11-17,1041.4
2004-11-18,1054.0
2004-11-19,1045.0
2004-11-22,1053.8
2004-11-23,1069.3
2004-11-24,1072.4
2004-11-25,1071.5
2004-11-29,1094.2
2004-11-30,1092.3
2004-12-01,1107.0
2004-12-02,1124.8
2004-12-03,1121.7
2004-12-06,1127.0
2004-12-07,1127.2
2004-12-08,1118.9
2004-12-09,1122.4
2004-12-10,1117.3
2004-12-13,1131.9
2004-12-14,1153.8
2004-12-15,1155.5
2004-12-16,1158.9
2004-12-17,1149.8
2004-12-20,1167.9
2004-12-21,1182.8
2004-12-22,1173.3
2004-12-23,1197.7
2004-12-24,1214.4
2004-12-27,1216.2
2004-12-28,1240.2
2004-12-29,1231.6
2004-12-30,1219.2
2004-12-31,1242.1
2005-01-03,1274.0
2005-01-04,1292.3
2005-01-05,1230.0
2005-01-06,1207.9
2005-01-07,1227.1
2005-01-10,1223.7
2005-01-11,1186.5
2005-01-12,1124.9
2005-01-13,1180.5
2005-01-14,1166.9
2005-01-17,1163.6
2005-01-18,1174.4
2005-01-19,1164.0
2005-01-20,1147.8
2005-01-24,1130.4
2005-01-25,1155.5
2005-01-27,1173.0
2005-01-28,1200.9
2005-01-31,1224.9
2005-02-01,1232.2
2005-02-02,1237.5
2005-02-03,1262.4
2005-02-04,1266.9
2005-02-07,1265.1
2005-02-08,1262.9
2005-02-09,1286.5
2005-02-10,1285.1
2005-02-11,1285.7
2005-02-14,1288.7
2005-02-15,1273.4
2005-02-16,1262.2
2005-02-17,1256.6
2005-02-18,1251.2
2005-02-21,1239.8
2005-02-22,1251.0
2005-02-23,1251.5
2005-02-24,1245.9
2005-02-25,1234.0
2005-02-28,1256.8
2005-03-01,1245.4
2005-03-02,1264.3
2005-03-03,1286.2
2005-03-04,1299.1
2005-03-07,1320.1
2005-03-08,1326.5
2005-03-09,1305.9
2005-03-10,1314.8
2005-03-11,1314.4
2005-03-14,1307.4
