Date,Close
2011-04-01,1000.0
2011-04-04,1016.9
2011-04-05,1017.7
2011-04-06,1013.7
2011-04-07,1014.6
2011-04-08,1005.0
2011-04-11,993.46
2011-04-13,1016.4
2011-04-15,999.7
2011-04-18,980.51
2011-04-19,985.6
2011-04-20,1005.1
2011-04-21,1008.1
2011-04-25,1006.6
2011-04-26,1004.0
2011-04-27,996.82
2011-04-28,988.51
2011-04-29,981.7
2011-05-02,973.42
2011-05-03,948.1
2011-05-04,940.06
2011-05-05,928.26
2011-05-06,951.18
2011-05-09,948.38
2011-05-10,943.39
2011-05-11,946.43
2011-05-12,932.65
2011-05-13,942.99
2011-05-16,935.48
2011-05-17,928.09
2011-05-18,925.77
2011-05-19,930.49
2011-05-20,944.1
2011-05-23,927.12
2011-05-24,932.18
2011-05-25,922.68
2011-05-26,934.16
2011-05-27,943.12
2011-05-30,940.92
2011-05-31,954.32
2011-06-01,959.04
2011-06-02,949.42
2011-06-03,946.32
2011-06-06,949.63
2011-06-07,954.3
2011-06-08,949.59
2011-06-09,949.77
2011-06-10,943.67
2011-06-13,942.78
2011-06-14,944.53
2011-06-15,935.66
2011-06-16,922.36
2011-06-17,915.96
2011-06-20,898.14
2011-06-21,902.18
2011-06-22,902.8
2011-06-23,909.13
2011-06-24,935.2
2011-06-27,947.75
2011-06-28,949.96
2011-06-29,957.1
2011-06-30,964.44
2011-07-01,959.78
2011-07-04,963.86
2011-07-05,963.39
2011-07-06,963.89
2011-07-07,979.82
2011-07-08,966.57
2011-07-11,957.97
2011-07-12,939.51
2011-07-13,948.4
2011-07-14,951.05
2011-07-15,950.12
2011-07-18,945.68
2011-07-19,952.18
2011-07-20,943.57
2011-07-21,938.06
2011-07-22,954.82
2011-07-25,963.11
2011-07-26,946.88
2011-07-27,943.95
2011-07-28,931.44
2011-07-29,931.79
2011-08-01,939.26
2011-08-02,928.86
2011-08-03,916.19
2011-08-04,905.91
2011-08-05,885.04
2011-08-08,866.58
2011-08-09,853.79
2011-08-10,874.97
2011-08-11,870.32
2011-08-12,857.38
2011-08-16,852.04
2011-08-17,853.63
2011-08-18,831.72
2011-08-19,813.89
2011-08-22,820.6
2011-08-23,833.57
2011-08-24,820.17
2011-08-25,809.64
2011-08-26,795.21
2011-08-29,829.19
2011-08-30,845.68
2011-09-02,853.25
2011-09-05,850.48
2011-09-06,861.58
2011-09-07,872.61
2011-09-08,879.91
2011-09-09,862.93
2011-09-12,840.03
2011-09-13,839.25
2011-09-14,852.23
2011-09-15,863.53
2011-09-16,863.54
2011-09-19,856.22
2011-09-20,875.03
2011-09-21,874.2
2011-09-22,837.73
2011-09-23,824.65
2011-09-26,819.96
2011-09-27,843.51
2011-09-28,837.33
2011-09-29,848.9
2011-09-30,836.91
2011-10-03,820.48
2011-10-04,808.89
2011-10-05,805.52
2011-10-07,829.84
2011-10-10,846.69
2011-10-11,844.68
2011-10-12,866.95
2011-10-13,866.64
2011-10-14,874.22
2011-10-17,873.31
2011-10-18,856.0
2011-10-19,872.68
2011-10-20,864.61
2011-10-21,857.02
2011-10-24,863.66
2011-10-25,882.01
2011-10-26,882.49
2011-10-28,911.16
2011-10-31,905.99
2011-11-01,892.74
2011-11-02,892.45
2011-11-03,891.88
2011-11-04,894.85
2011-11-08,895.06
2011-11-09,883.25
2011-11-11,872.93
2011-11-14,866.69
2011-11-15,851.53
2011-11-16,843.46
2011-11-17,828.57
2011-11-18,823.55
2011-11-21,802.52
2011-11-22,812.07
2011-11-23,793.45
2011-11-24,804.4
2011-11-25,795.95
2011-11-28,817.76
2011-11-29,809.22
2011-11-30,810.12
2011-12-01,830.91
2011-12-02,852.49
2011-12-05,850.53
2011-12-07,856.92
2011-12-08,838.47
2011-12-09,824.37
2011-12-12,807.46
2011-12-13,810.83
2011-12-14,802.72
2011-12-15,799.09
2011-12-16,781.57
2011-12-19,773.65
2011-12-20,757.97
2011-12-21,784.64
2011-12-22,791.29
2011-12-23,788.19
2011-12-26,800.1
2011-12-27,795.26
2011-12-28,787.33
2011-12-29,775.45
2011-12-30,770.46
2012-01-02,775.95
2012-01-03,798.89
2012-01-04,796.43
2012-01-05,798.28
2012-01-06,799.71
2012-01-07,798.8
2012-01-09,797.6
2012-01-10,817.15
2012-01-11,820.49
2012-01-12,812.99
2012-01-13,820.15
2012-01-16,824.04
2012-01-17,843.23
2012-01-18,837.15
2012-01-19,848.87
2012-01-20,856.64
2012-01-23,854.79
2012-01-24,872.36
2012-01-25,880.37
2012-01-27,892.66
2012-01-30,870.09
2012-01-31,889.6
2012-02-01,899.55
2012-02-02,907.6
2012-02-03,914.72
2012-02-06,923.28
2012-02-07,916.86
2012-02-08,924.96
2012-02-09,934.04
2012-02-10,931.62
2012-02-13,932.59
2012-02-14,941.51
2012-02-15,966.05
2012-02-16,960.64
2012-02-17,966.51
2012-02-21,973.23
2012-02-22,954.37
2012-02-23,950.49
2012-02-24,940.22
2012-02-27,908.96
2012-02-28,928.52
2012-02-29,930.25
2012-03-01,921.03
2012-03-02,926.15
2012-03-03,925.96
2012-03-05,910.46
2012-03-06,899.92
2012-03-07,900.96
2012-03-09,925.58
2012-03-12,931.33
2012-03-13,940.96
2012-03-14,946.13
2012-03-15,932.8
2012-03-16,922.94
2012-03-19,909.5
2012-03-20,911.54
2012-03-21,931.31
2012-03-22,906.72
2012-03-23,914.85
2012-03-26,897.6
2012-03-27,906.34
2012-03-28,899.81
2012-03-29,897.07
2012-03-30,919.89
2012-04-02,924.55
2012-04-03,932.67
2012-04-04,926.42
2012-04-09,910.13
2012-04-10,909.96
2012-04-11,904.99
2012-04-12,911.74
2012-04-13,894.39
2012-04-16,898.68
2012-04-17,907.4
2012-04-18,912.2
2012-04-19,916.95
2012-04-20,910.57
2012-04-23,895.11
2012-04-24,902.75
2012-04-25,898.12
2012-04-26,896.45
2012-04-27,897.53
2012-04-28,900.24
2012-04-30,908.54
2012-05-02,905.5
2012-05-03,895.75
2012-05-04,877.59
2012-05-07,886.23
2012-05-08,863.74
2012-05-09,855.46
2012-05-10,853.9
2012-05-11,849.81
2012-05-14,846.06
2012-05-15,854.59
2012-05-16,837.61
2012-05-17,836.66
2012-05-18,834.01
2012-05-21,839.37
2012-05-22,832.4
2012-05-23,828.2
2012-05-24,840.85
2012-05-25,842.15
2012-05-28,854.5
2012-05-29,857.04
2012-05-30,846.9
2012-05-31,839.88
2012-06-01,824.2
2012-06-04,828.64
2012-06-05,832.54
2012-06-06,855.67
2012-06-07,863.92
2012-06-08,866.6
2012-06-11,862.87
2012-06-12,875.38
2012-06-13,874.08
2012-06-14,861.37
2012-06-15,878.14
2012-06-18,868.0
2012-06-19,873.05
2012-06-20,876.67
2012-06-21,881.52
2012-06-22,876.78
2012-06-25,872.66
2012-06-26,875.27
2012-06-27,878.07
2012-06-28,880.36
2012-06-29,902.05
2012-07-02,904.02
2012-07-03,906.33
2012-07-04,909.18
2012-07-05,914.11
2012-07-06,910.37
2012-07-09,903.65
2012-07-10,913.63
2012-07-11,909.07
2012-07-12,892.05
2012-07-13,889.53
2012-07-16,880.28
2012-07-17,876.51
2012-07-18,881.91
2012-07-19,888.05
2012-07-20,883.56
2012-07-23,868.48
2012-07-24,867.38
2012-07-25,863.58
2012-07-26,852.66
2012-07-27,863.76
2012-07-30,881.24
2012-07-31,887.28
2012-08-01,887.69
2012-08-02,884.38
2012-08-03,880.87
2012-08-06,894.54
2012-08-07,904.94
2012-08-08,906.41
2012-08-09,904.56
2012-08-10,904.54
2012-08-13,909.65
2012-08-14,916.44
2012-08-16,917.26
2012-08-17,917.18
2012-08-21,927.18
2012-08-22,925.86
2012-08-23,925.0
2012-08-24,918.24
2012-08-27,911.24
2012-08-28,907.57
2012-08-29,899.44
2012-08-30,903.49
2012-08-31,892.83
2012-09-03,891.44
2012-09-04,896.91
2012-09-05,886.72
2012-09-06,893.41
2012-09-07,913.47
2012-09-08,916.74
2012-09-10,917.22
2012-09-11,920.59
2012-09-12,930.61
2012-09-13,930.91
2012-09-14,961.2
2012-09-17,972.41
2012-09-18,968.14
2012-09-20,960.41
2012-09-21,981.13
2012-09-24,980.7
2012-09-25,979.76
2012-09-26,978.19
2012-09-27,977.12
2012-09-28,985.92
2012-10-01,990.38
2012-10-03,993.77
2012-10-04,1002.0
2012-10-05,995.69
2012-10-08,978.82
2012-10-09,985.27
2012-10-10,976.04
2012-10-11,985.6
2012-10-12,979.87
2012-10-15,977.78
2012-10-16,968.05
2012-10-17,969.05
2012-10-18,980.99
2012-10-19,972.34
2012-10-22,980.02
2012-10-23,977.29
2012-10-25,980.8
2012-10-26,977.0
2012-10-29,977.31
2012-10-30,964.62
2012-10-31,970.73
2012-11-01,979.15
2012-11-02,990.53
2012-11-05,989.59
2012-11-06,990.6
2012-11-07,997.12
2012-11-08,994.0
2012-11-09,984.37
2012-11-12,984.64
2012-11-13,981.56
2012-11-15,974.81
2012-11-16,963.87
2012-11-19,960.47
2012-11-20,961.13
2012-11-21,969.08
2012-11-22,970.97
2012-11-23,972.68
2012-11-26,975.15
2012-11-27,989.12
2012-11-29,1005.4
2012-11-30,1012.6
2012-12-03,1015.0
2012-12-04,1017.4
2012-12-05,1018.7
2012-12-06,1023.7
2012-12-07,1019.0
2012-12-10,1016.7
2012-12-11,1013.5
2012-12-12,1013.5
2012-12-13,1010.0
2012-12-14,1017.9
2012-12-17,1014.9
2012-12-18,1022.4
2012-12-19,1030.0
2012-12-20,1028.0
2012-12-21,1016.2
2012-12-24,1018.3
2012-12-26,1025.6
2012-12-27,1019.5
2012-12-28,1027.1
2012-12-31,1027.4
2013-01-01,1035.9
2013-01-02,1044.0
2013-01-03,1048.6
2013-01-04,1049.3
2013-01-07,1045.4
2013-01-08,1043.0
2013-01-09,1038.5
2013-01-10,1037.0
2013-01-11,1043.4
2013-01-14,1056.3
2013-01-15,1060.2
2013-01-16,1050.1
2013-01-17,1057.0
2013-01-18,1057.4
2013-01-21,1059.9
2013-01-22,1053.1
2013-01-23,1051.2
2013-01-24,1044.1
2013-01-25,1053.1
2013-01-28,1053.8
2013-01-29,1046.8
2013-01-30,1048.4
2013-01-31,1043.5
2013-02-01,1037.1
2013-02-04,1036.5
2013-02-05,1031.3
2013-02-06,1032.3
2013-02-07,1029.3
2013-02-08,1024.6
2013-02-11,1025.5
2013-02-12,1028.1
2013-02-13,1030.4
2013-02-14,1024.0
2013-02-15,1021.1
2013-02-18,1023.8
2013-02-19,1031.1
2013-02-20,1033.3
2013-02-21,1016.6
2013-02-22,1017.2
2013-02-25,1018.4
2013-02-26,1002.6
2013-02-27,1008.0
2013-02-28,989.17
2013-03-01,994.87
2013-03-04,989.61
2013-03-05,1006.0
2013-03-06,1015.2
2013-03-07,1021.8
2013-03-08,1033.9
2013-03-11,1032.1
2013-03-12,1027.0
2013-03-13,1013.7
2013-03-14,1025.1
2013-03-15,1018.3
2013-03-18,1010.0
2013-03-19,991.92
2013-03-20,984.25
2013-03-21,975.22
2013-03-22,974.43
2013-03-25,970.39
2013-03-26,969.24
2013-03-28,976.17
2013-04-01,981.94
2013-04-02,990.85
2013-04-03,975.27
2013-04-04,959.34
2013-04-05,957.45
2013-04-08,954.15
2013-04-09,948.63
2013-04-10,961.56
2013-04-11,968.63
2013-04-12,943.89
2013-04-15,947.1
2013-04-16,964.53
2013-04-17,961.54
2013-04-18,978.43
2013-04-22,986.15
2013-04-23,986.0
2013-04-25,998.67
2013-04-26,988.89
2013-04-29,994.83
2013-04-30,1002.1
2013-05-02,1014.7
2013-05-03,1006.7
2013-05-06,1015.5
2013-05-07,1025.0
2013-05-08,1027.9
2013-05-09,1025.6
2013-05-10,1031.9
2013-05-11,1032.7
2013-05-13,1014.2
2013-05-14,1015.4
2013-05-15,1039.9
2013-05-16,1045.5
2013-05-17,1049.8
2013-05-20,1047.0
2013-05-21,1040.3
2013-05-22,1031.9
2013-05-23,1010.6
2013-05-24,1016.8
2013-05-27,1034.0
2013-05-28,1037.7
2013-05-29,1033.7
2013-05-30,1033.7
2013-05-31,1015.9
2013-06-03,1013.0
2013-06-04,1009.1
2013-06-05,1010.0
2013-06-06,1010.0
2013-06-07,1004.6
2013-06-10,1004.1
2013-06-11,989.54
2013-06-12,982.27
2013-06-13,970.22
2013-06-14,990.61
2013-06-17,999.46
2013-06-18,995.48
2013-06-19,996.77
2013-06-20,967.25
2013-06-21,968.95
2013-06-24,956.15
2013-06-25,957.75
2013-06-26,953.95
2013-06-27,972.58
2013-06-28,998.5
2013-07-01,1008.1
2013-07-02,999.17
2013-07-03,982.69
2013-07-04,993.03
2013-07-05,997.97
2013-07-08,986.68
2013-07-09,996.32
2013-07-10,987.75
2013-07-11,1005.7
2013-07-12,1027.3
2013-07-15,1030.7
2013-07-16,1015.0
2013-07-17,1017.8
2013-07-18,1027.1
