Date,Close,
1900-01-01,192.98,
1900-02-01,194.12,
1900-03-01,195.69,
1900-04-01,198.19,
1900-05-01,193.41,
1900-06-01,189.97,
1900-07-01,187.65,
1900-08-01,192.56,
1900-09-01,185.73,
1900-10-01,194.83,
1900-11-01,210.07,
1900-12-01,225.49,
1901-01-01,229.19,
1901-02-01,237.97,
1901-03-01,246.50,
1901-04-01,270.56,
1901-05-01,256.93,
1901-06-01,282.53,
1901-07-01,260.28,
1901-08-01,260.64,
1901-09-01,256.18,
1901-10-01,253.30,
1901-11-01,255.62,
1901-12-01,248.52,
1902-01-01,256.89,
1902-02-01,259.10,
1902-03-01,259.42,
1902-04-01,265.08,
1902-05-01,261.35,
1902-06-01,256.78,
1902-07-01,262.58,
1902-08-01,272.78,
1902-09-01,270.22,
1902-10-01,244.60,
1902-11-01,243.11,
1902-12-01,234.87,
1903-01-01,244.11,
1903-02-01,242.67,
1903-03-01,241.10,
1903-04-01,231.25,
1903-05-01,232.05,
1903-06-01,219.23,
1903-07-01,209.15,
1903-08-01,202.43,
1903-09-01,195.28,
1903-10-01,191.14,
1903-11-01,194.00,
1903-12-01,202.96,
1904-01-01,201.61,
1904-02-01,191.77,
1904-03-01,193.36,
1904-04-01,200.41,
1904-05-01,200.80,
1904-06-01,201.11,
1904-07-01,209.45,
1904-08-01,214.04,
1904-09-01,220.93,
1904-10-01,233.91,
1904-11-01,241.05,
1904-12-01,243.41,
1905-01-01,248.72,
1905-02-01,259.63,
1905-03-01,270.04,
1905-04-01,266.76,
1905-05-01,256.55,
1905-06-01,259.56,
1905-07-01,267.71,
1905-08-01,274.52,
1905-09-01,278.58,
1905-10-01,282.50,
1905-11-01,277.80,
1905-12-01,281.47,
1906-01-01,291.20,
1906-02-01,289.14,
1906-03-01,282.06,
1906-04-01,278.22,
1906-05-01,267.83,
1906-06-01,271.34,
1906-07-01,273.45,
1906-08-01,287.07,
1906-09-01,292.63,
1906-10-01,277.71,
1906-11-01,280.37,
1906-12-01,274.87,
1907-01-01,269.92,
1907-02-01,255.95,
1907-03-01,233.25,
1907-04-01,234.37,
1907-05-01,221.55,
1907-06-01,212.23,
1907-07-01,220.35,
1907-08-01,203.84,
1907-09-01,201.67,
1907-10-01,177.91,
1907-11-01,174.59,
1907-12-01,187.52,
1908-01-01,197.66,
1908-02-01,192.56,
1908-03-01,200.44,
1908-04-01,208.91,
1908-05-01,220.16,
1908-06-01,220.45,
1908-07-01,226.05,
1908-08-01,235.75,
1908-09-01,233.18,
1908-10-01,233.50,
1908-11-01,246.66,
1908-12-01,249.59,
1909-01-01,253.08,
1909-02-01,243.23,
1909-03-01,246.55,
1909-04-01,252.30,
1909-05-01,258.03,
1909-06-01,259.93,
1909-07-01,263.64,
1909-08-01,267.31,
1909-09-01,264.92,
1909-10-01,260.80,
1909-11-01,257.03,
1909-12-01,257.58,
1910-01-01,254.50,
1910-02-01,245.41,
1910-03-01,246.73,
1910-04-01,238.53,
1910-05-01,239.07,
1910-06-01,229.76,
1910-07-01,218.14,
1910-08-01,225.62,
1910-09-01,229.37,
1910-10-01,247.20,
1910-11-01,252.03,
1910-12-01,244.99,
1911-01-01,250.94,
1911-02-01,263.42,
1911-03-01,257.61,
1911-04-01,264.86,
1911-05-01,270.57,
1911-06-01,276.00,
1911-07-01,271.90,
1911-08-01,250.82,
1911-09-01,234.70,
1911-10-01,236.05,
1911-11-01,248.08,
1911-12-01,251.80,
1912-01-01,249.45,
1912-02-01,244.72,
1912-03-01,246.67,
1912-04-01,246.88,
1912-05-01,246.62,
1912-06-01,249.06,
1912-07-01,249.32,
1912-08-01,252.54,
1912-09-01,251.37,
1912-10-01,250.86,
1912-11-01,248.05,
1912-12-01,241.47,
1913-01-01,237.09,
1913-02-01,228.68,
1913-03-01,224.34,
1913-04-01,224.09,
1913-05-01,220.22,
1913-06-01,207.01,
1913-07-01,207.69,
1913-08-01,213.24,
1913-09-01,213.11,
1913-10-01,206.36,
1913-11-01,199.13,
1913-12-01,200.87,
1914-01-01,209.11,
1914-02-01,214.00,
1914-03-01,209.96,
1914-04-01,207.01,
1914-05-01,206.18,
1914-06-01,205.17,
1914-07-01,191.87,
1914-08-01,188.11,
1914-09-01,188.11,
1914-10-01,189.97,
1914-11-01,188.11,
1914-12-01,181.81,
1915-01-01,185.03,
1915-02-01,184.38,
1915-03-01,191.04,
1915-04-01,203.37,
1915-05-01,196.65,
1915-06-01,198.88,
1915-07-01,198.14,
1915-08-01,206.55,
1915-09-01,214.22,
1915-10-01,223.87,
1915-11-01,229.46,
1915-12-01,229.95,
1916-01-01,224.13,
1916-02-01,221.01,
1916-03-01,218.19,
1916-04-01,213.77,
1916-05-01,216.45,
1916-06-01,216.52,
1916-07-01,213.52,
1916-08-01,213.16,
1916-09-01,217.87,
1916-10-01,220.65,
1916-11-01,221.81,
1916-12-01,211.07,
1917-01-01,204.35,
1917-02-01,188.00,
1917-03-01,193.83,
1917-04-01,181.82,
1917-05-01,172.93,
1917-06-01,173.73,
1917-07-01,171.57,
1917-08-01,163.93,
1917-09-01,152.53,
1917-10-01,142.13,
1917-11-01,130.28,
1917-12-01,124.01,
1918-01-01,128.67,
1918-02-01,131.65,
1918-03-01,129.91,
1918-04-01,126.85,
1918-05-01,128.19,
1918-06-01,126.62,
1918-07-01,124.26,
1918-08-01,122.97,
1918-09-01,119.98,
1918-10-01,122.73,
1918-11-01,123.54,
1918-12-01,119.62,
1919-01-01,118.86,
1919-02-01,121.52,
1919-03-01,123.70,
1919-04-01,125.52,
1919-05-01,132.60,
1919-06-01,136.15,
1919-07-01,136.55,
1919-08-01,125.20,
1919-09-01,126.46,
1919-10-01,130.72,
1919-11-01,124.11,
1919-12-01,117.91,
1920-01-01,114.30,
1920-02-01,103.78,
1920-03-01,109.95,
1920-04-01,105.84,
1920-05-01,97.75,
1920-06-01,94.67,
1920-07-01,95.01,
1920-08-01,93.53,
1920-09-01,98.31,
1920-10-01,98.93,
1920-11-01,94.38,
1920-12-01,87.70,
1921-01-01,93.49,
1921-02-01,95.86,
1921-03-01,93.93,
1921-04-01,95.38,
1921-05-01,100.50,
1921-06-01,92.98,
1921-07-01,92.17,
1921-08-01,91.04,
1921-09-01,94.37,
1921-10-01,95.65,
1921-11-01,101.37,
1921-12-01,105.57,
1922-01-01,107.92,
1922-02-01,110.28,
1922-03-01,115.79,
1922-04-01,122.82,
1922-05-01,127.61,
1922-06-01,126.41,
1922-07-01,126.55,
1922-08-01,132.89,
1922-09-01,136.36,
1922-10-01,138.53,
1922-11-01,130.87,
1922-12-01,129.80,
1923-01-01,132.35,
